Repositorio,Tecnología,¿Tiene pruebas unitarias?,Confianza,Evidencia
Diegox-Mome/app-modelo,Python,No,Alta,sin archivos de prueba
Diegox-Mome/colegio-ie1267-web,React,No,Alta,sin archivos de prueba
expressjs/express,JavaScript/TypeScript,Sí,Alta,91 archivo(s) de prueba (p.ej. test/Route.js); framework declarado (mocha); CI ejecuta pruebas (.github/workflows/ci.yml); 34 caso(s) de prueba reales en 5 archivo(s) revisado(s)
gin-gonic/gin,Go,Sí,Alta,40 archivo(s) de prueba (p.ej. auth_test.go); framework declarado (testify); CI ejecuta pruebas (.github/workflows/gin.yml); 200 caso(s) de prueba reales en 5 archivo(s) revisado(s)
github/gitignore,-,No aplica,Alta,"Sin código fuente reconocible (documentación, configuración o infraestructura)"
gothinkster/angular-realworld-example-app,Angular,Sí,Media,6 archivo(s) de prueba (p.ej. src/app/core/auth/services/jwt.service.spec.ts); framework declarado (vitest); 142 caso(s) de prueba reales en 5 archivo(s) revisado(s) (+6 de plantilla ignorados)
jasontaylordev/CleanArchitecture,Angular + C#/.NET,Sí,Alta,Angular: 2 archivo(s) de prueba (p.ej. src/Web/ClientApp/src/api-authorization/authorize.interceptor.spec.ts); framework declarado (jasmine-core); 2 caso(s) de prueba reales en 2 archivo(s) revisado(s) (+1 de plantilla ignorados) | C#/.NET: 12 archivo(s) de prueba (p.ej. tests/Domain.UnitTests/ValueObjects/ColourTests.cs); framework declarado (nunit); CI ejecuta pruebas (.github/workflows/build.yml); 13 caso(s) de prueba reales en 5 archivo(s) revisado(s)
karpathy/minGPT,Python,Sí,Media,1 archivo(s) de prueba (p.ej. tests/test_huggingface_import.py); 1 caso(s) de prueba reales en 1 archivo(s) revisado(s)
karpathy/nanoGPT,Python,No,Alta,sin archivos de prueba
laravel/laravel,JavaScript/TypeScript + PHP,No,Media,JavaScript/TypeScript: sin archivos de prueba | PHP: 3 archivo(s) de prueba (p.ej. tests/TestCase.php); framework declarado (phpunit); solo casos de plantilla generados automáticamente
octocat/Hello-World,-,No aplica,Alta,"Sin código fuente reconocible (documentación, configuración o infraestructura)"
pallets/flask,Python (Flask),Sí,Alta,37 archivo(s) de prueba (p.ej. tests/test_appctx.py); framework declarado (pytest); CI ejecuta pruebas (.github/workflows/tests.yaml); 47 caso(s) de prueba reales en 5 archivo(s) revisado(s)
spring-guides/gs-rest-service,Java (Spring Boot),Sí,Alta,4 archivo(s) de prueba (p.ej. complete-kotlin/src/test/kotlin/com/example/restservice/GreetingControllerTests.kt); framework declarado (junit); CI ejecuta pruebas (.github/workflows/continuous-integration-build.yml); 5 caso(s) de prueba reales en 4 archivo(s) revisado(s) (+1 de plantilla ignorados)
spring-projects/spring-petclinic,Java (Spring Boot),Sí,Alta,20 archivo(s) de prueba (p.ej. src/test/java/org/springframework/samples/petclinic/MySqlIntegrationTests.java); framework declarado (junit); CI ejecuta pruebas (.github/workflows/gradle-build.yml); 13 caso(s) de prueba reales en 5 archivo(s) revisado(s)
